respondent_id,h1n1_vaccine,seasonal_vaccine
26889,0.09,0.12
26890,0.18,0.39
26891,0.72,0.76
26892,0.19,0.60
26893,0.02,0.13
26894,0.25,0.30
26895,0.19,0.85
26896,0.13,0.04
26897,0.20,0.43
26898,0.36,0.62
26899,0.15,0.09
26900,0.10,0.24
26901,0.08,0.40
26902,0.55,0.85
26903,0.17,0.17
26904,0.09,0.35
26905,0.36,0.77
26906,0.10,0.40
26907,0.05,0.52
26908,0.29,0.77
26909,0.16,0.21
26910,0.22,0.43
26911,0.04,0.17
26912,0.54,0.83
26913,0.83,0.79
26914,0.22,0.09
26915,0.30,0.56
26916,0.58,0.15
26917,0.09,0.16
26918,0.98,0.99
26919,0.48,0.75
26920,0.02,0.07
26921,0.15,0.77
26922,0.09,0.83
26923,0.22,0.50
26924,0.94,0.97
26925,0.09,0.68
26926,0.36,0.51
26927,0.64,0.57
26928,0.07,0.50
26929,0.13,0.32
26930,0.48,0.79
26931,0.27,0.38
26932,0.09,0.86
26933,0.11,0.53
26934,0.63,0.75
26935,0.22,0.37
26936,0.35,0.28
26937,0.72,0.76
26938,0.12,0.08
26939,0.11,0.10
26940,0.11,0.26
26941,0.09,0.36
26942,0.52,0.69
26943,0.34,0.66
26944,0.08,0.19
26945,0.59,0.53
26946,0.41,0.68
26947,0.76,0.91
26948,0.05,0.08
26949,0.04,0.07
26950,0.12,0.49
26951,0.17,0.36
26952,0.67,0.76
26953,0.66,0.90
26954,0.04,0.09
26955,0.31,0.74
26956,0.08,0.12
26957,0.10,0.85
26958,0.55,0.78
26959,0.19,0.33
26960,0.03,0.08
26961,0.40,0.34
26962,0.21,0.75
26963,0.18,0.36
26964,0.05,0.14
26965,0.85,0.93
26966,0.22,0.18
26967,0.38,0.76
26968,0.08,0.84
26969,0.17,0.23
26970,0.60,0.58
26971,0.25,0.09
26972,0.04,0.08
26973,0.10,0.16
26974,0.16,0.23
26975,0.10,0.63
26976,0.86,0.59
26977,0.16,0.36
26978,0.07,0.73
26979,0.62,0.83
26980,0.10,0.12
26981,0.20,0.45
26982,0.59,0.79
26983,0.16,0.44
26984,0.11,0.15
26985,0.06,0.10
26986,0.34,0.33
26987,0.08,0.18
26988,0.09,0.07
26989,0.62,0.83
26990,0.15,0.24
26991,0.27,0.44
26992,0.43,0.49
26993,0.30,0.89
26994,0.17,0.40
26995,0.26,0.48
26996,0.31,0.38
26997,0.11,0.18
26998,0.16,0.10
26999,0.55,0.55
27000,0.16,0.36
27001,0.20,0.76
27002,0.05,0.31
27003,0.07,0.11
27004,0.10,0.18
27005,0.52,0.70
27006,0.74,0.81
27007,0.10,0.22
27008,0.17,0.11
27009,0.08,0.25
27010,0.06,0.07
27011,0.19,0.22
27012,0.37,0.49
27013,0.15,0.48
27014,0.05,0.34
27015,0.05,0.08
27016,0.22,0.34
27017,0.56,0.83
27018,0.07,0.22
27019,0.92,0.90
27020,0.19,0.27
27021,0.22,0.52
27022,0.16,0.22
27023,0.17,0.19
27024,0.15,0.44
27025,0.21,0.17
27026,0.25,0.77
27027,0.29,0.80
27028,0.49,0.83
27029,0.15,0.30
27030,0.24,0.26
27031,0.40,0.76
27032,0.33,0.61
27033,0.40,0.67
27034,0.16,0.60
27035,0.14,0.21
27036,0.22,0.64
27037,0.46,0.57
27038,0.04,0.04
27039,0.67,0.83
27040,0.38,0.35
27041,0.13,0.67
27042,0.10,0.52
27043,0.67,0.69
27044,0.07,0.07
27045,0.22,0.68
27046,0.12,0.14
27047,0.78,0.64
27048,0.23,0.54
27049,0.28,0.68
27050,0.09,0.64
27051,0.57,0.61
27052,0.20,0.64
27053,0.82,0.85
27054,0.04,0.04
27055,0.10,0.91
27056,0.16,0.15
27057,0.05,0.05
27058,0.81,0.88
27059,0.07,0.14
27060,0.07,0.23
27061,0.57,0.73
27062,0.14,0.43
27063,0.16,0.56
27064,0.24,0.48
27065,0.13,0.38
27066,0.11,0.50
27067,0.72,0.78
27068,0.74,0.79
27069,0.52,0.89
27070,0.03,0.04
27071,0.05,0.07
27072,0.28,0.52
27073,0.09,0.86
27074,0.08,0.26
27075,0.78,0.73
27076,0.44,0.59
27077,0.05,0.20
27078,0.24,0.80
27079,0.46,0.81
27080,0.13,0.21
27081,0.09,0.67
27082,0.21,0.38
27083,0.16,0.28
27084,0.60,0.67
27085,0.02,0.05
27086,0.15,0.12
27087,0.39,0.35
27088,0.36,0.63
27089,0.31,0.23
27090,0.43,0.73
27091,0.52,0.43
27092,0.17,0.26
27093,0.24,0.23
27094,0.03,0.15
27095,0.71,0.64
27096,0.11,0.24
27097,0.50,0.60
27098,0.82,0.81
27099,0.23,0.54
27100,0.19,0.69
27101,0.14,0.61
27102,0.16,0.76
27103,0.05,0.12
27104,0.31,0.58
27105,0.15,0.42
27106,0.58,0.85
27107,0.52,0.73
27108,0.30,0.70
27109,0.16,0.17
27110,0.10,0.32
27111,0.16,0.39
27112,0.39,0.56
27113,0.11,0.08
27114,0.08,0.34
27115,0.49,0.73
27116,0.25,0.94
27117,0.13,0.16
27118,0.32,0.41
27119,0.11,0.23
27120,0.33,0.95
27121,0.05,0.68
27122,0.08,0.36
27123,0.09,0.14
27124,0.05,0.20
27125,0.04,0.03
27126,0.20,0.21
27127,0.10,0.09
27128,0.24,0.49
27129,0.30,0.56
27130,0.10,0.25
27131,0.04,0.09
27132,0.67,0.93
27133,0.61,0.86
27134,0.91,0.98
27135,0.35,0.62
27136,0.15,0.56
27137,0.13,0.24
27138,0.39,0.48
27139,0.13,0.20
27140,0.80,0.89
27141,0.66,0.71
27142,0.10,0.20
27143,0.26,0.41
27144,0.12,0.14
27145,0.60,0.69
27146,0.15,0.77
27147,0.09,0.18
27148,0.14,0.11
27149,0.32,0.15
27150,0.50,0.83
27151,0.27,0.82
27152,0.09,0.18
27153,0.28,0.71
27154,0.64,0.80
27155,0.38,0.69
27156,0.07,0.19
27157,0.06,0.55
27158,0.17,0.37
27159,0.05,0.12
27160,0.38,0.39
27161,0.59,0.58
27162,0.60,0.88
27163,0.51,0.47
27164,0.35,0.31
27165,0.46,0.57
27166,0.18,0.26
27167,0.17,0.54
27168,0.22,0.61
27169,0.65,0.64
27170,0.39,0.80
27171,0.26,0.25
27172,0.15,0.74
27173,0.27,0.42
27174,0.11,0.13
27175,0.12,0.16
27176,0.52,0.89
27177,0.65,0.82
27178,0.36,0.20
27179,0.13,0.24
27180,0.41,0.48
27181,0.11,0.81
27182,0.68,0.84
27183,0.08,0.65
27184,0.08,0.40
27185,0.56,0.75
27186,0.35,0.84
27187,0.12,0.31
27188,0.04,0.28
27189,0.08,0.69
27190,0.39,0.81
27191,0.35,0.89
27192,0.58,0.79
27193,0.04,0.14
27194,0.35,0.48
27195,0.05,0.11
27196,0.48,0.25
27197,0.19,0.66
27198,0.82,0.91
27199,0.18,0.28
27200,0.25,0.69
27201,0.83,0.87
27202,0.07,0.23
27203,0.05,0.14
27204,0.03,0.04
27205,0.05,0.13
27206,0.16,0.31
27207,0.04,0.17
27208,0.61,0.67
27209,0.18,0.33
27210,0.35,0.31
27211,0.22,0.29
27212,0.57,0.90
27213,0.61,0.52
27214,0.07,0.09
27215,0.30,0.63
27216,0.22,0.78
27217,0.16,0.23
27218,0.58,0.81
27219,0.75,0.64
27220,0.29,0.42
27221,0.19,0.67
27222,0.41,0.61
27223,0.15,0.71
27224,0.15,0.66
27225,0.44,0.30
27226,0.03,0.21
27227,0.22,0.23
27228,0.54,0.75
27229,0.46,0.76
27230,0.32,0.86
27231,0.32,0.79
27232,0.11,0.40
27233,0.31,0.37
27234,0.12,0.17
27235,0.78,0.89
27236,0.11,0.85
27237,0.56,0.75
27238,0.28,0.80
27239,0.40,0.28
27240,0.32,0.33
27241,0.24,0.11
27242,0.25,0.56
27243,0.05,0.13
27244,0.05,0.05
27245,0.29,0.58
27246,0.85,0.90
27247,0.53,0.94
27248,0.15,0.63
27249,0.17,0.62
27250,0.30,0.24
27251,0.07,0.45
27252,0.24,0.41
27253,0.12,0.77
27254,0.90,0.99
27255,0.37,0.21
27256,0.66,0.89
27257,0.51,0.52
27258,0.35,0.73
27259,0.68,0.77
27260,0.14,0.31
27261,0.28,0.72
27262,0.31,0.51
27263,0.09,0.08
27264,0.11,0.10
27265,0.12,0.32
27266,0.23,0.29
27267,0.33,0.56
27268,0.10,0.15
27269,0.61,0.60
27270,0.07,0.15
27271,0.14,0.19
27272,0.07,0.39
27273,0.04,0.22
27274,0.55,0.39
27275,0.26,0.37
27276,0.08,0.19
27277,0.09,0.83
27278,0.32,0.41
27279,0.25,0.29
27280,0.69,0.56
27281,0.25,0.42
27282,0.19,0.87
27283,0.05,0.20
27284,0.28,0.54
27285,0.07,0.32
27286,0.11,0.50
27287,0.48,0.64
27288,0.38,0.66
27289,0.51,0.55
27290,0.07,0.08
27291,0.66,0.82
27292,0.14,0.39
27293,0.13,0.91
27294,0.09,0.08
27295,0.53,0.85
27296,0.09,0.81
27297,0.13,0.71
27298,0.09,0.30
27299,0.39,0.62
27300,0.27,0.83
27301,0.02,0.03
27302,0.15,0.74
27303,0.07,0.19
27304,0.18,0.83
27305,0.05,0.08
27306,0.21,0.50
27307,0.78,0.87
27308,0.12,0.23
27309,0.72,0.93
27310,0.21,0.18
27311,0.15,0.25
27312,0.14,0.51
27313,0.02,0.12
27314,0.07,0.04
27315,0.34,0.31
27316,0.50,0.59
27317,0.21,0.25
27318,0.35,0.28
27319,0.40,0.85
27320,0.61,0.83
27321,0.11,0.69
27322,0.35,0.36
27323,0.23,0.46
27324,0.58,0.58
27325,0.64,0.89
27326,0.24,0.64
27327,0.23,0.40
27328,0.26,0.46
27329,0.19,0.26
27330,0.11,0.52
27331,0.09,0.19
27332,0.32,0.84
27333,0.76,0.75
27334,0.03,0.04
27335,0.22,0.19
27336,0.09,0.20
27337,0.22,0.60
27338,0.52,0.45
27339,0.72,0.47
27340,0.03,0.10
27341,0.29,0.69
27342,0.19,0.52
27343,0.04,0.06
27344,0.37,0.47
27345,0.16,0.30
27346,0.67,0.89
27347,0.78,0.85
27348,0.12,0.15
27349,0.12,0.28
27350,0.15,0.87
27351,0.79,0.85
27352,0.24,0.36
27353,0.07,0.20
27354,0.25,0.70
27355,0.29,0.27
27356,0.36,0.74
27357,0.06,0.35
27358,0.27,0.86
27359,0.35,0.67
27360,0.23,0.57
27361,0.08,0.81
27362,0.25,0.46
27363,0.10,0.28
27364,0.13,0.45
27365,0.57,0.60
27366,0.57,0.66
27367,0.32,0.48
27368,0.26,0.60
27369,0.06,0.06
27370,0.11,0.74
27371,0.33,0.41
27372,0.09,0.19
27373,0.71,0.70
27374,0.08,0.36
27375,0.15,0.87
27376,0.50,0.30
27377,0.16,0.56
27378,0.03,0.09
27379,0.09,0.23
27380,0.18,0.87
27381,0.10,0.54
27382,0.23,0.33
27383,0.15,0.59
27384,0.10,0.40
27385,0.38,0.92
27386,0.19,0.87
27387,0.68,0.80
27388,0.21,0.21
27389,0.18,0.12
27390,0.04,0.05
27391,0.21,0.68
27392,0.84,0.91
27393,0.07,0.06
27394,0.07,0.37
27395,0.61,0.65
27396,0.08,0.14
27397,0.71,0.95
27398,0.82,0.81
27399,0.29,0.51
27400,0.17,0.68
27401,0.28,0.26
27402,0.18,0.66
27403,0.07,0.12
27404,0.39,0.28
27405,0.76,0.81
27406,0.04,0.20
27407,0.13,0.15
27408,0.10,0.55
27409,0.73,0.92
27410,0.27,0.16
27411,0.20,0.12
27412,0.24,0.67
27413,0.10,0.35
27414,0.83,0.72
27415,0.14,0.42
27416,0.13,0.26
27417,0.27,0.51
27418,0.51,0.23
27419,0.67,0.88
27420,0.39,0.32
27421,0.15,0.25
27422,0.58,0.78
27423,0.07,0.23
27424,0.29,0.47
27425,0.34,0.62
27426,0.08,0.32
27427,0.17,0.40
27428,0.06,0.07
27429,0.56,0.30
27430,0.16,0.52
27431,0.37,0.59
27432,0.45,0.53
27433,0.13,0.75
27434,0.05,0.47
27435,0.25,0.41
27436,0.08,0.12
27437,0.33,0.21
27438,0.12,0.20
27439,0.26,0.39
27440,0.12,0.14
27441,0.83,0.91
27442,0.30,0.77
27443,0.08,0.13
27444,0.12,0.09
27445,0.04,0.09
27446,0.20,0.19
27447,0.38,0.17
27448,0.30,0.63
27449,0.19,0.89
27450,0.21,0.70
27451,0.03,0.08
27452,0.11,0.29
27453,0.19,0.88
27454,0.15,0.36
27455,0.19,0.41
27456,0.28,0.51
27457,0.02,0.14
27458,0.10,0.38
27459,0.09,0.12
27460,0.79,0.76
27461,0.11,0.16
27462,0.08,0.33
27463,0.20,0.26
27464,0.47,0.62
27465,0.74,0.90
27466,0.03,0.08
27467,0.12,0.29
27468,0.15,0.44
27469,0.08,0.54
27470,0.78,0.86
27471,0.16,0.78
27472,0.42,0.64
27473,0.15,0.36
27474,0.32,0.33
27475,0.04,0.07
27476,0.23,0.45
27477,0.11,0.23
27478,0.13,0.64
27479,0.21,0.36
27480,0.41,0.77
27481,0.53,0.80
27482,0.37,0.38
27483,0.75,0.76
27484,0.74,0.84
27485,0.11,0.76
27486,0.19,0.18
27487,0.24,0.89
27488,0.64,0.79
27489,0.88,0.72
27490,0.06,0.36
27491,0.25,0.50
27492,0.13,0.38
27493,0.16,0.89
27494,0.54,0.66
27495,0.23,0.32
27496,0.14,0.04
27497,0.28,0.14
27498,0.10,0.69
27499,0.59,0.87
27500,0.21,0.80
27501,0.13,0.30
27502,0.13,0.51
27503,0.15,0.64
27504,0.04,0.06
27505,0.09,0.07
27506,0.42,0.71
27507,0.14,0.29
27508,0.20,0.56
27509,0.29,0.60
27510,0.55,0.31
27511,0.28,0.59
27512,0.11,0.25
27513,0.23,0.55
27514,0.82,0.60
27515,0.85,0.49
27516,0.51,0.75
27517,0.11,0.05
27518,0.74,0.87
27519,0.03,0.08
27520,0.03,0.08
27521,0.06,0.35
27522,0.16,0.17
27523,0.03,0.44
27524,0.09,0.46
27525,0.14,0.27
27526,0.61,0.68
27527,0.14,0.92
27528,0.57,0.80
27529,0.16,0.72
27530,0.07,0.08
27531,0.23,0.19
27532,0.23,0.86
27533,0.32,0.47
27534,0.13,0.11
27535,0.17,0.76
27536,0.16,0.32
27537,0.55,0.75
27538,0.23,0.35
27539,0.26,0.71
27540,0.47,0.22
27541,0.67,0.92
27542,0.07,0.19
27543,0.54,0.67
27544,0.16,0.27
27545,0.15,0.17
27546,0.54,0.53
27547,0.25,0.16
27548,0.12,0.87
27549,0.31,0.83
27550,0.24,0.30
27551,0.34,0.57
27552,0.14,0.82
27553,0.23,0.52
27554,0.29,0.31
27555,0.15,0.18
27556,0.20,0.62
27557,0.39,0.83
27558,0.12,0.29
27559,0.31,0.65
27560,0.29,0.71
27561,0.95,0.73
27562,0.45,0.66
27563,0.31,0.61
27564,0.33,0.35
27565,0.22,0.28
27566,0.19,0.42
27567,0.29,0.68
27568,0.49,0.89
27569,0.17,0.29
27570,0.55,0.78
27571,0.09,0.12
27572,0.03,0.05
27573,0.06,0.20
27574,0.42,0.66
27575,0.07,0.33
27576,0.05,0.14
27577,0.16,0.41
27578,0.23,0.43
27579,0.21,0.54
27580,0.08,0.67
27581,0.19,0.19
27582,0.11,0.06
27583,0.17,0.12
27584,0.59,0.57
27585,0.25,0.70
27586,0.59,0.77
27587,0.13,0.72
27588,0.21,0.38
27589,0.14,0.49
27590,0.34,0.63
27591,0.46,0.68
27592,0.14,0.08
27593,0.05,0.12
27594,0.31,0.62
27595,0.15,0.27
27596,0.13,0.22
27597,0.17,0.24
27598,0.11,0.17
27599,0.42,0.67
27600,0.42,0.45
27601,0.20,0.65
27602,0.67,0.82
27603,0.11,0.06
27604,0.08,0.30
27605,0.44,0.51
27606,0.18,0.26
27607,0.41,0.51
27608,0.16,0.61
27609,0.50,0.65
27610,0.37,0.68
27611,0.29,0.19
27612,0.05,0.63
27613,0.69,0.88
27614,0.08,0.34
27615,0.20,0.91
27616,0.04,0.05
27617,0.28,0.40
27618,0.26,0.52
27619,0.57,0.30
27620,0.54,0.57
27621,0.20,0.51
27622,0.62,0.92
27623,0.48,0.85
27624,0.20,0.72
27625,0.23,0.37
27626,0.05,0.12
27627,0.63,0.78
27628,0.20,0.78
27629,0.09,0.11
27630,0.39,0.72
27631,0.27,0.37
27632,0.08,0.40
27633,0.47,0.74
27634,0.15,0.15
27635,0.19,0.37
27636,0.33,0.77
27637,0.27,0.08
27638,0.18,0.33
27639,0.11,0.31
27640,0.66,0.55
27641,0.48,0.56
27642,0.44,0.66
27643,0.11,0.12
27644,0.19,0.60
27645,0.16,0.17
27646,0.15,0.37
27647,0.26,0.20
27648,0.08,0.10
27649,0.11,0.32
27650,0.12,0.50
27651,0.34,0.83
27652,0.23,0.36
27653,0.04,0.10
27654,0.88,0.65
27655,0.36,0.38
27656,0.18,0.23
27657,0.55,0.29
27658,0.13,0.52
27659,0.07,0.10
27660,0.44,0.43
27661,0.34,0.16
27662,0.10,0.28
27663,0.34,0.81
27664,0.16,0.15
27665,0.54,0.57
27666,0.28,0.83
27667,0.13,0.17
27668,0.90,0.90
27669,0.24,0.82
27670,0.64,0.94
27671,0.28,0.94
27672,0.04,0.09
27673,0.06,0.07
27674,0.08,0.48
27675,0.47,0.66
27676,0.37,0.79
27677,0.07,0.18
27678,0.23,0.29
27679,0.13,0.52
27680,0.63,0.84
27681,0.05,0.10
27682,0.07,0.90
27683,0.20,0.67
27684,0.08,0.14
27685,0.05,0.09
27686,0.24,0.41
27687,0.05,0.09
27688,0.15,0.59
27689,0.60,0.92
27690,0.54,0.78
27691,0.74,0.87
27692,0.22,0.42
27693,0.15,0.57
27694,0.50,0.71
27695,0.24,0.45
27696,0.48,0.76
27697,0.67,0.77
27698,0.43,0.51
27699,0.08,0.19
27700,0.11,0.41
27701,0.49,0.39
27702,0.33,0.35
27703,0.07,0.11
27704,0.04,0.10
27705,0.55,0.63
27706,0.24,0.79
27707,0.13,0.36
27708,0.43,0.62
27709,0.22,0.25
27710,0.19,0.26
27711,0.58,0.60
27712,0.05,0.09
27713,0.05,0.03
27714,0.19,0.19
27715,0.90,0.81
27716,0.52,0.79
27717,0.15,0.20
27718,0.23,0.37
27719,0.04,0.13
27720,0.11,0.29
27721,0.40,0.35
27722,0.24,0.33
27723,0.54,0.91
27724,0.11,0.23
27725,0.22,0.60
27726,0.12,0.30
27727,0.24,0.88
27728,0.42,0.42
27729,0.05,0.11
27730,0.50,0.71
27731,0.60,0.89
27732,0.18,0.93
27733,0.14,0.24
27734,0.16,0.47
27735,0.46,0.50
27736,0.19,0.34
27737,0.24,0.73
27738,0.38,0.93
27739,0.53,0.78
27740,0.16,0.26
27741,0.33,0.58
27742,0.47,0.57
27743,0.77,0.72
27744,0.05,0.31
27745,0.81,0.87
27746,0.11,0.72
27747,0.09,0.34
27748,0.37,0.29
27749,0.48,0.70
27750,0.26,0.29
27751,0.15,0.14
27752,0.58,0.81
27753,0.06,0.09
27754,0.32,0.77
27755,0.90,0.93
27756,0.17,0.19
27757,0.19,0.06
27758,0.11,0.83
27759,0.08,0.08
27760,0.70,0.79
27761,0.16,0.74
27762,0.18,0.23
27763,0.14,0.60
27764,0.23,0.41
27765,0.11,0.52
27766,0.72,0.80
27767,0.38,0.70
27768,0.10,0.17
27769,0.17,0.35
27770,0.13,0.64
27771,0.18,0.51
27772,0.76,0.81
27773,0.22,0.48
27774,0.18,0.21
27775,0.54,0.22
27776,0.18,0.16
27777,0.15,0.42
27778,0.25,0.22
27779,0.11,0.19
27780,0.12,0.86
27781,0.05,0.07
27782,0.78,0.91
27783,0.11,0.70
27784,0.15,0.22
27785,0.16,0.32
27786,0.11,0.20
27787,0.15,0.30
27788,0.02,0.11
27789,0.67,0.80
27790,0.49,0.71
27791,0.08,0.30
27792,0.10,0.78
27793,0.36,0.38
27794,0.20,0.26
27795,0.72,0.77
27796,0.19,0.76
27797,0.36,0.57
27798,0.27,0.19
27799,0.41,0.22
27800,0.16,0.32
27801,0.07,0.17
27802,0.89,0.89
27803,0.08,0.01
27804,0.67,0.86
27805,0.13,0.24
27806,0.90,0.91
27807,0.36,0.82
27808,0.50,0.34
27809,0.56,0.84
27810,0.08,0.18
27811,0.07,0.16
27812,0.05,0.09
27813,0.25,0.44
27814,0.08,0.28
27815,0.08,0.45
27816,0.73,0.68
27817,0.26,0.30
27818,0.77,0.85
27819,0.45,0.50
27820,0.72,0.72
27821,0.22,0.28
27822,0.09,0.22
27823,0.26,0.31
27824,0.24,0.76
27825,0.35,0.26
27826,0.22,0.61
27827,0.06,0.10
27828,0.05,0.19
27829,0.06,0.10
27830,0.27,0.15
27831,0.24,0.51
27832,0.22,0.49
27833,0.34,0.32
27834,0.93,0.81
27835,0.66,0.75
27836,0.14,0.84
27837,0.67,0.85
27838,0.07,0.57
27839,0.11,0.19
27840,0.65,0.58
27841,0.20,0.40
27842,0.39,0.83
27843,0.13,0.48
27844,0.22,0.95
27845,0.09,0.75
27846,0.20,0.25
27847,0.20,0.46
27848,0.92,0.94
27849,0.13,0.72
27850,0.27,0.18
27851,0.49,0.29
27852,0.48,0.66
27853,0.13,0.15
27854,0.28,0.73
27855,0.53,0.55
27856,0.42,0.86
27857,0.55,0.75
27858,0.78,0.86
27859,0.62,0.84
27860,0.17,0.72
27861,0.37,0.20
27862,0.42,0.70
27863,0.27,0.31
27864,0.15,0.38
27865,0.55,0.58
27866,0.74,0.74
27867,0.69,0.55
27868,0.44,0.89
27869,0.12,0.55
27870,0.33,0.24
27871,0.21,0.32
27872,0.13,0.16
27873,0.18,0.14
27874,0.35,0.75
27875,0.31,0.46
27876,0.08,0.13
27877,0.53,0.52
27878,0.13,0.83
27879,0.09,0.83
27880,0.12,0.30
27881,0.58,0.77
27882,0.11,0.50
27883,0.09,0.17
27884,0.33,0.28
27885,0.07,0.17
27886,0.07,0.17
27887,0.52,0.58
27888,0.09,0.38
27889,0.22,0.19
27890,0.28,0.32
27891,0.36,0.61
27892,0.14,0.16
27893,0.11,0.30
27894,0.51,0.30
27895,0.14,0.72
27896,0.10,0.47
27897,0.07,0.07
27898,0.10,0.14
27899,0.20,0.48
27900,0.42,0.80
27901,0.13,0.09
27902,0.10,0.32
27903,0.13,0.15
27904,0.22,0.32
27905,0.13,0.19
27906,0.15,0.66
27907,0.86,0.90
27908,0.27,0.56
27909,0.23,0.27
27910,0.23,0.52
27911,0.35,0.69
27912,0.16,0.68
27913,0.07,0.32
27914,0.11,0.47
27915,0.08,0.31
27916,0.35,0.53
27917,0.10,0.43
27918,0.31,0.92
27919,0.37,0.41
27920,0.18,0.74
27921,0.14,0.56
27922,0.38,0.59
27923,0.23,0.72
27924,0.23,0.27
27925,0.03,0.05
27926,0.18,0.26
27927,0.09,0.18
27928,0.95,0.89
27929,0.09,0.86
27930,0.17,0.25
27931,0.70,0.88
27932,0.11,0.10
27933,0.02,0.22
27934,0.35,0.71
27935,0.28,0.74
27936,0.17,0.68
27937,0.75,0.90
27938,0.07,0.16
27939,0.03,0.09
27940,0.12,0.10
27941,0.13,0.34
27942,0.06,0.14
27943,0.28,0.68
27944,0.29,0.29
27945,0.52,0.37
27946,0.19,0.13
27947,0.53,0.75
27948,0.04,0.13
27949,0.20,0.39
27950,0.11,0.80
27951,0.41,0.58
27952,0.15,0.86
27953,0.21,0.57
27954,0.21,0.81
27955,0.10,0.73
27956,0.57,0.79
27957,0.05,0.25
27958,0.72,0.82
27959,0.29,0.30
27960,0.35,0.60
27961,0.13,0.19
27962,0.91,0.84
27963,0.06,0.11
27964,0.07,0.06
27965,0.06,0.16
27966,0.60,0.84
27967,0.12,0.17
27968,0.11,0.46
27969,0.80,0.83
27970,0.30,0.45
27971,0.09,0.65
27972,0.16,0.53
27973,0.56,0.81
27974,0.40,0.41
